mitre_id,name,description,aliases,techniques
S0061,HDoor,[HDoor](https://attack.mitre.org/software/S0061) is malware that has been customized and used by the [Naikon](https://attack.mitre.org/groups/G0019) group. (Citation: Baumgartner Naikon 2015),HDoor|Custom HDoor,T1046|T1685
S0266,TrickBot,"[TrickBot](https://attack.mitre.org/software/S0266) is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to [Dyre](https://attack.mitre.org/software/S0024). [TrickBot](https://attack.mitre.org/software/S0266) was developed and initially used by [Wizard Spider](https://attack.mitre.org/groups/G0102) for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big ",TrickBot|Totbrick|TSPY_TRICKLOAD,T1005|T1007|T1008|T1016|T1018|T1021.005|T1027|T1027.002|T1027.013|T1033|T1036|T1041|T1053.005|T1055|T1055.012|T1056.004|T1057|T1059.001|T1059.003|T1069|T1071.001|T1082|T1083|T1087.001|T1087.003|T1090.002|T1105|T1106|T1110.004|T1112|T1132.001|T1135|T1140|T1185|T1204.002|T1210|T1219|T1482|T1495|T1497.003|T1542.003|T1543.003|T1547.001|T1552.001|T1552.002|T1553.002|T1555.003|T1555.005|T1559.001|T1564.003|T1566.001|T1566.002|T1571|T1573.001|T1685
S1204,cd00r,"[cd00r](https://attack.mitre.org/software/S1204) is an open-source backdoor for UNIX and UNIX-variant operating systems that was orginally released in 2000. [cd00r](https://attack.mitre.org/software/S1204) source code is primarily based on a packet-capturing program as it utilizes a sniffer to listen for specific sequences of network traffic or ""secret knock"" before executing the attacker's code.(Citation: Hartrell cd00r 2002)(Citation: Lumen J-Magic JAN 2025)

",cd00r,T1016|T1040|T1095|T1205.001
S0139,PowerDuke,[PowerDuke](https://attack.mitre.org/software/S0139) is a backdoor that was used by [APT29](https://attack.mitre.org/groups/G0016) in 2016. It has primarily been delivered through Microsoft Word or Excel attachments containing malicious macros. (Citation: Volexity PowerDuke November 2016),PowerDuke,T1010|T1016|T1027.003|T1033|T1057|T1059.003|T1070.004|T1082|T1083|T1105|T1124|T1218.011|T1485|T1547.001|T1564.004
S0605,EKANS,"[EKANS](https://attack.mitre.org/software/S0605) is ransomware variant written in Golang that first appeared in mid-December 2019 and has been used against multiple sectors, including energy, healthcare, and automotive manufacturing, which in some cases resulted in significant operational disruptions. [EKANS](https://attack.mitre.org/software/S0605) has used a hard-coded kill-list of processes, including some associated with common ICS software platforms (e.g., GE Proficy, Honeywell HMIWeb, etc)",EKANS|SNAKEHOSE,T1016|T1027|T1036.005|T1047|T1057|T1486|T1489|T1490|T1685
S0520,BLINDINGCAN,"[BLINDINGCAN](https://attack.mitre.org/software/S0520) is a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against defense, engineering, and government organizations in Western Europe and the US.(Citation: US-CERT BLINDINGCAN Aug 2020)(Citation: NHS UK BLINDINGCAN Aug 2020)",BLINDINGCAN,T1005|T1016|T1027.002|T1027.013|T1036.005|T1041|T1059.003|T1070.004|T1070.006|T1071.001|T1082|T1083|T1105|T1129|T1132.001|T1140|T1204.002|T1218.011|T1553.002|T1566.001|T1573.001|T1680
S1100,Ninja,[Ninja](https://attack.mitre.org/software/S1100) is a malware developed in C++ that has been used by [ToddyCat](https://attack.mitre.org/groups/G1022) to penetrate networks and control remote systems since at least 2020.  [Ninja](https://attack.mitre.org/software/S1100) is possibly part of a post exploitation toolkit exclusively used by [ToddyCat](https://attack.mitre.org/groups/G1022) and allows multiple operators to work simultaneously on the same machine. [Ninja](https://attack.mitre.org/soft,Ninja,T1001|T1001.003|T1016|T1027.013|T1027.015|T1029|T1036.005|T1055|T1057|T1070.006|T1071.001|T1082|T1083|T1090.001|T1090.003|T1095|T1106|T1132.002|T1140|T1204.002|T1218.011|T1480.001|T1543.003|T1559|T1566.003|T1573.001|T1574.001|T1680
S1145,Pikabot,"[Pikabot](https://attack.mitre.org/software/S1145) is a backdoor used for initial access and follow-on tool deployment active since early 2023. [Pikabot](https://attack.mitre.org/software/S1145) is notable for extensive use of multiple encoding, encryption, and defense evasion mechanisms to evade defenses and avoid analysis. [Pikabot](https://attack.mitre.org/software/S1145) has some overlaps with [QakBot](https://attack.mitre.org/software/S0650), but insufficient evidence exists to definitively",Pikabot,T1016|T1027.003|T1027.009|T1027.011|T1041|T1055.002|T1055.003|T1059.003|T1082|T1087.001|T1106|T1132.001|T1140|T1480.001|T1482|T1497.001|T1547.001|T1571|T1573.001|T1620|T1622
S0206,Wiarp,[Wiarp](https://attack.mitre.org/software/S0206) is a trojan used by [Elderwood](https://attack.mitre.org/groups/G0066) to open a backdoor on compromised hosts. (Citation: Symantec Elderwood Sept 2012) (Citation: Symantec Wiarp May 2012),Wiarp,T1055|T1059.003|T1105|T1543.003
S0662,RCSession,[RCSession](https://attack.mitre.org/software/S0662) is a backdoor written in C++ that has been in use since at least 2018 by [Mustang Panda](https://attack.mitre.org/groups/G0129) and by [Threat Group-3390](https://attack.mitre.org/groups/G0027) (Type II Backdoor).(Citation: Secureworks BRONZE PRESIDENT December 2019)(Citation: Trend Micro Iron Tiger April 2021)(Citation: Trend Micro DRBControl February 2020),RCSession,T1005|T1027.011|T1027.015|T1033|T1036|T1055.012|T1056.001|T1057|T1059.003|T1070.004|T1071.001|T1082|T1095|T1105|T1106|T1112|T1113|T1218.007|T1547.001|T1548.002|T1573|T1574.001
